x,y
-4.5008425351e-02,-4.5008425135e-02
-4.5846286587e-02,-4.5846286230e-02
-4.6683833330e-02,-4.6683833003e-02
-4.7521058253e-02,-4.7521058004e-02
-4.8357954029e-02,-4.8357953783e-02
-4.9194513330e-02,-4.9194512889e-02
-5.0030728825e-02,-5.0030728802e-02
-5.0866593187e-02,-5.0866593141e-02
-5.1702099085e-02,-5.1702098921e-02
-5.2537239189e-02,-5.2537239157e-02
-5.3372006168e-02,-5.3372005932e-02
-5.4206392691e-02,-5.4206392262e-02
-5.5040391427e-02,-5.5040391162e-02
-5.5873995045e-02,-5.5873994716e-02
-5.6707196214e-02,-5.6707195938e-02
-5.7539987601e-02,-5.7539987378e-02
-5.8372361876e-02,-5.8372361585e-02
-5.9204311708e-02,-5.9204311576e-02
-6.0035829764e-02,-6.0035829432e-02
-6.0866908716e-02,-6.0866908636e-02
-6.1697541231e-02,-6.1697540805e-02
-6.2527719980e-02,-6.2527719885e-02
-6.3357437633e-02,-6.3357437495e-02
-6.4186686861e-02,-6.4186686650e-02
-6.5015460335e-02,-6.5015459899e-02
-6.5843750727e-02,-6.5843750723e-02
-6.6671550710e-02,-6.6671550274e-02
-6.7498852957e-02,-6.7498852499e-02
-6.8325650143e-02,-6.8325649947e-02
-6.9151934942e-02,-6.9151934702e-02
-6.9977700031e-02,-6.9977699779e-02
-7.0802938087e-02,-7.0802937727e-02
-7.1627641787e-02,-7.1627641562e-02
-7.2451803812e-02,-7.2451803368e-02
-7.3275416842e-02,-7.3275416624e-02
-7.4098473558e-02,-7.4098473415e-02
-7.4920966644e-02,-7.4920966290e-02
-7.5742888785e-02,-7.5742888730e-02
-7.6564232665e-02,-7.6564232353e-02
-7.7384990975e-02,-7.7384990640e-02
-7.8205156401e-02,-7.8205156140e-02
-7.9024721636e-02,-7.9024721403e-02
-7.9843679371e-02,-7.9843678977e-02
-8.0662022302e-02,-8.0662021879e-02
-8.1479743124e-02,-8.1479743123e-02
-8.2296834536e-02,-8.2296834327e-02
-8.3113289239e-02,-8.3113288973e-02
-8.3929099934e-02,-8.3929099608e-02
-8.4744259325e-02,-8.4744259249e-02
-8.5558760121e-02,-8.5558759980e-02
-8.6372595029e-02,-8.6372594815e-02
-8.7185756761e-02,-8.7185756303e-02
-8.7998238030e-02,-8.7998237927e-02
-8.8810031553e-02,-8.8810031302e-02
-8.9621130049e-02,-8.9621129911e-02
-9.0431526238e-02,-9.0431525838e-02
-9.1241212844e-02,-9.1241212562e-02
-9.2050182595e-02,-9.2050182167e-02
-9.2858428220e-02,-9.2858428136e-02
-9.3665942451e-02,-9.3665942084e-02
-9.4472718023e-02,-9.4472717959e-02
-9.5278747675e-02,-9.5278747380e-02
-9.6084024148e-02,-9.6084023826e-02
-9.6888540186e-02,-9.6888539847e-02
-9.7692288538e-02,-9.7692288458e-02
-9.8495261954e-02,-9.8495261744e-02
-9.9297453188e-02,-9.9297453184e-02
-1.0009885500e-01,-1.0009885486e-01
-1.0089946015e-01,-1.0089945979e-01
-1.0169926139e-01,-1.0169926099e-01
-1.0249825151e-01,-1.0249825148e-01
-1.0329642328e-01,-1.0329642287e-01
-1.0409376945e-01,-1.0409376910e-01
-1.0489028283e-01,-1.0489028273e-01
-1.0568595619e-01,-1.0568595584e-01
-1.0648078231e-01,-1.0648078192e-01
-1.0727475400e-01,-1.0727475397e-01
-1.0806786404e-01,-1.0806786362e-01
-1.0886010523e-01,-1.0886010481e-01
-1.0965147038e-01,-1.0965147009e-01
-1.1044195229e-01,-1.1044195201e-01
-1.1123154379e-01,-1.1123154359e-01
-1.1202023767e-01,-1.1202023737e-01
-1.1280802678e-01,-1.1280802637e-01
-1.1359490392e-01,-1.1359490361e-01
-1.1438086194e-01,-1.1438086163e-01
-1.1516589366e-01,-1.1516589345e-01
-1.1594999193e-01,-1.1594999162e-01
-1.1673314959e-01,-1.1673314916e-01
-1.1751535949e-01,-1.1751535907e-01
-1.1829661448e-01,-1.1829661438e-01
-1.1907690743e-01,-1.1907690717e-01
-1.1985623119e-01,-1.1985623091e-01
-1.2063457865e-01,-1.2063457863e-01
-1.2141194266e-01,-1.2141194241e-01
